Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Desulfovibrio salexigens	[106,223,255,302,318,319,321]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Desulfovibrio vulgaris	[157,302,322,106,223,255,302,318,319,321]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Dorea formicigenerans	[333]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Enterococcus casseliflavus	[Supplementary Data 2d,85,185,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[85,185,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Enterococcus faecium (Streptococcus faecium)	[85,185,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Enterococcus gallinarum	[Supplementary Data 2d,85,185,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Enterococcus italicus	[Supplementary Data 2d,85,185,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Escherichia albertii	[316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Escherichia coli	[122,342,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Escherichia fergusonii	[316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium cellulosolvens	[83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium eligens	[83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) & production (export)	Eubacterium hallii	[18,19,85,94,184,189,285,83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) & production (export)	Eubacterium limosum	[85,285,319,83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium rectale	[13,83,83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium saburreum	[83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium saphenum	[83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium siraeum	[128,83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Eubacterium ventriosum	[83,85,185,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Faecalibacterium prausnitzii	[13,82,128,185,249]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Fibrobacter succinogenes (Bacteroides succinogenes)	[198]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Fusobacterium nucleatum	[47]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Haemophilus influenzae	[126]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Haemophilus parainfluenzae	[126]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Holdemania filiformis	[358,359]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus acidophilus	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus amylolyticus	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus amylovorus	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus antri	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) & production (export)	Lactobacillus brevis	[234,Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) & production (export)	Lactobacillus buchneri	[234,Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus casei	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus coleohominis	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus crispatus	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus delbrueckii	[245,Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus fermentum	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus gasseri	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus helveticus	[245,Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus hilgardii	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus iners	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus jensenii	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus johnsonii	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus oris	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus paracasei	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) & production (export)	Lactobacillus plantarum	[234,Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus reuteri	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus rhamnosus	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus ruminis	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus sakei	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus salivarius	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus ultunensis	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactobacillus vaginalis	[Supplementary Data 2d,85,185,197,316,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Lactococcus lactis	[67,Supplementary Data 2d,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leptotrichia buccalis	[338,198]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leptotrichia goodfellowii	[198]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leptotrichia hofstadii	[198]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leuconostoc citreum	[Supplementary Data 2d,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leuconostoc gasicomitatum	[Supplementary Data 2d,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leuconostoc kimchii	[Supplementary Data 2d,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Leuconostoc mesenteroides	[339,Supplementary Data 2d,316]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Marvinbryantia formatexigens	[256,364,364]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Megamonas hypermegale	[277]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Megasphaera micronuciformis	[85,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Methylobacterium nodulans	[427]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Moorella thermoacetica	[81]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Oenococcus oeni	[Supplementary Data 2d]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Pediococcus acidilactici	[67,Supplementary Data 2d]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Pediococcus pentosaceus	[Supplementary Data 2d]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Pelobacter propionicus	[288,289,318]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Pelotomaculum thermopropionicum	[135,162,302]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Propionibacterium acnes	[197,319]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[197,319]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Pseudomonas aeruginosa	[344]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import) & production (export)	Roseburia intestinalis	[82,83,91,185]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Roseburia inulinivorans	[185]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Ruminococcus bromii	[185]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Ruminococcus flavefaciens	[185]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Ruminococcus obeum	[326]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Ruminococcus torques	[124,326]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Selenomonas artemidis	[85,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Selenomonas flueggei	[85,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Selenomonas noxia	[85,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Selenomonas sputigena	[85,197]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Shewanella putrefaciens (Pseudomonas putrefaciens)	[186]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus aureus	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus capitis	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus carnosus	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus epidermidis	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus haemolyticus	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus hominis	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus lugdunensis	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus pseudintermedius	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus saprophyticus	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Staphylococcus warneri	[339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus agalactiae	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus anginosus	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus australis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus bovis (Streptococcus equinus)	[205,270,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus cristatus	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus downei	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus dysgalactiae	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus equi	[205,270,Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus gallolyticus	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus gordonii	[141,Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus infantarius	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus infantis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus mitis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus mutans	[187,338,Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus oralis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus parasanguinis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus peroris	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus pneumoniae	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus pseudoporcinus	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus pyogenes	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus salivarius	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus sanguinis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus suis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus thermophilus	[67,213,245,Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus uberis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Streptococcus vestibularis	[Supplementary Data 2d,85,197,198,316,317,339]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Subdoligranulum variabile	[128]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Syntrophobacter fumaroxidans	[162]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Syntrophomonas wolfei	[162]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Syntrophus aciditrophicus	[162]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Veillonella atypica	[141,19,85,197,229]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Veillonella dispar	[19,85,197,229]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Consumption (import)	Veillonella parvula	[187,229,253,19,85,197,229]
L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	Weissella paramesenteroides	[Supplementary Data 2d]
L-Leucine (Leucine)	Consumption (import)	Aminobacterium colombiense	[302]
L-Leucine (Leucine)	Consumption (import)	Anaerococcus tetradius	[90]
L-Leucine (Leucine)	Consumption (import)	Anaerococcus vaginalis	[90]
L-Leucine (Leucine)	Consumption (import)	Bacteroides thetaiotaomicron	[118]
L-Leucine (Leucine)	Consumption (import)	Baumannia cicadellinicola	[207]
L-Leucine (Leucine)	Production (export)	Buchnera aphidicola	[78]
L-Leucine (Leucine)	Consumption (import)	Clostridium botulinum	[212]
L-Leucine (Leucine)	Consumption (import)	Clostridium difficile	[212]
L-Leucine (Leucine)	Consumption (import)	Clostridium sporogenes	[212]
L-Leucine (Leucine)	Consumption (import)	Clostridium tetani	[212]
L-Leucine (Leucine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Leucine (Leucine)	Consumption (import)	Escherichia coli	[6]
L-Leucine (Leucine)	Consumption (import)	Finegoldia magna	[90]
L-Leucine (Leucine)	Consumption (import)	Peptoniphilus lacrimalis	[90]
L-Leucine (Leucine)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[121]
L-Leucine (Leucine)	Consumption (import)	Streptococcus salivarius	[26]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Baumannia cicadellinicola	[207,368]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Clostridium botulinum	[86,212]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Clostridium tetani	[212]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Lysine (Lysine, D-Lysine)	Production (export)	Corynebacterium glutamicum	[122]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Fusobacterium nucleatum	[182,306]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Odoribacter splanchnicus	[107]
L-Lysine (Lysine, D-Lysine)	Consumption (import)	Streptococcus salivarius	[26]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Anaerotruncus colihominis	[170]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Bacillus subtilis	[118]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Bilophila wadsworthia	[169]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Production (export)	Clostridium tetani	[306]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Colonocyte (host colon)	[336]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Corynebacterium glutamicum	[118]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Desulfovibrio vulgaris	[157]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Ensifer meliloti (Sinorhizobium meliloti)	[118,331]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Escherichia coli	[118,331]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Klebsiella pneumoniae	[178]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Methylobacterium nodulans	[427]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Production (export)	Pelotomaculum thermopropionicum	[135]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Pseudomonas aeruginosa	[118,341]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Rhizobium leguminosarum	[118]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Rhodobacter capsulatus	[118]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Rhodopseudomonas palustris	[331]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Syntrophobacter fumaroxidans	[302]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Veillonella parvula	[229]
L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	Xanthomonas campestris	[331]
L-Methionine (D-Methionine)	Consumption (import)	Acholeplasma laidlawii	[171]
L-Methionine (D-Methionine)	Consumption (import)	Aminobacterium colombiense	[302]
L-Methionine (D-Methionine)	Consumption (import)	Bacteroides fragilis	[198,343]
L-Methionine (D-Methionine)	Consumption (import)	Bacteroides thetaiotaomicron	[198]
L-Methionine (D-Methionine)	Consumption (import)	Bacteroides vulgatus	[198]
L-Methionine (D-Methionine)	Production (export)	Baumannia cicadellinicola	[207]
L-Methionine (D-Methionine)	Production (export)	Buchnera aphidicola	[78]
L-Methionine (D-Methionine)	Consumption (import)	Clostridium botulinum	[212]
L-Methionine (D-Methionine)	Consumption (import)	Clostridium difficile	[212]
L-Methionine (D-Methionine)	Consumption (import)	Clostridium sporogenes	[212]
L-Methionine (D-Methionine)	Consumption (import)	Clostridium tetani	[212]
L-Methionine (D-Methionine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Methionine (D-Methionine)	Consumption (import)	Deinococcus radiodurans	[125]
L-Methionine (D-Methionine)	Consumption (import)	Fusobacterium nucleatum	[182]
L-Methionine (D-Methionine)	Consumption (import)	Parabacteroides distasonis	[198]
L-Methionine (D-Methionine)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[244]
L-Methionine (D-Methionine)	Consumption (import)	Streptococcus salivarius	[26]
L-Ornithine (Ornithine)	Production (export)	Clostridium perfringens	[306]
L-Ornithine (Ornithine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Ornithine (Ornithine)	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[306]
L-Ornithine (Ornithine)	Consumption (import)	Eubacterium rectale	[301]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Bacteroides thetaiotaomicron	[307]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Baumannia cicadellinicola	[207]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium botulinum	[86,212]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium difficile	[212]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium sporogenes	[212,307]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium sticklandii	[86]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Clostridium tetani	[212]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Peptoniphilus lacrimalis	[90]
L-Phenylalanine (Phenylalanine, D-Phenylalanine)	Consumption (import)	Streptococcus salivarius	[26]
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium botulinum	[86,212]
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium difficile	[212]
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium sporogenes	[86,212,307]
L-Proline (Proline, D-Proline)	Consumption (import)	Clostridium sticklandii	[86]
L-Proline (Proline, D-Proline)	Consumption (import)	Colonocyte (host colon)	[336]
L-Proline (Proline, D-Proline)	Consumption (import)	Methylobacterium nodulans	[427]
L-Proline (Proline, D-Proline)	Consumption (import)	Peptostreptococcus anaerobius	[90]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Aeromonas hydrophila	[2]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Bacteroides ovatus	[204]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Bacteroides thetaiotaomicron	[118,204]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Bacteroides xylanisolvens	[44]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Butyrivibrio fibrisolvens	[217]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Butyrivibrio proteoclasticus	[152,217]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)	[145]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Holdemania filiformis	[358]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Parabacteroides distasonis	[276]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Prevotella copri	[116]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Ruminococcus obeum	[253]
L-Rhamnose (Rhamnose, D-Rhamnose)	Consumption (import)	Subdoligranulum variabile	[128]
L-Selenocysteine	Consumption (import)	Colonocyte (host colon)	[336]
L-Serine (Serine, D-Serine)	Consumption (import)	Anaerotruncus colihominis	[170]
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium botulinum	[86,212]
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium difficile	[212]
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium leptum	[307]
